               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.024102,            0.019782,           0.0005483,             0.98625,             0.99445,             0.98884,             0.62803,            0.027947,            0.015066,          0.00032659,           0.0056275,           0.0056275,           0.0056275
                  55,            0.023761,            0.019868,          0.00039909,              0.9867,             0.99293,             0.98701,             0.61876,             0.02839,            0.015139,          0.00028424,            0.005545,            0.005545,            0.005545
                  56,            0.024108,            0.019595,          0.00035875,             0.98876,             0.99445,             0.99128,             0.62844,            0.028328,            0.015169,          0.00033028,           0.0054625,           0.0054625,           0.0054625
                  57,             0.02368,             0.01929,          0.00033442,             0.98632,             0.99202,             0.98927,             0.62395,            0.028356,            0.015239,          0.00038311,             0.00538,             0.00538,             0.00538
                  58,            0.023654,            0.019755,          0.00038711,             0.98047,             0.98908,             0.98287,             0.61566,            0.028908,            0.015905,           0.0002719,           0.0052975,           0.0052975,           0.0052975
                  59,            0.023491,            0.019881,          0.00039516,             0.98596,             0.99149,              0.9885,             0.62372,            0.028237,              0.0158,          0.00034531,            0.005215,            0.005215,            0.005215
                  60,              0.0232,            0.019255,          0.00040945,             0.98889,             0.99348,             0.98985,             0.61135,            0.028775,            0.015776,           0.0002796,           0.0051325,           0.0051325,           0.0051325
                  61,            0.023396,            0.019562,           0.0003988,             0.98653,             0.99217,             0.98839,             0.62364,            0.028256,            0.015291,          0.00036908,             0.00505,             0.00505,             0.00505
                  62,            0.023072,            0.019509,          0.00043158,             0.98442,             0.99291,             0.98817,             0.62184,            0.028189,            0.015501,          0.00039022,           0.0049675,           0.0049675,           0.0049675
                  63,            0.023029,            0.018581,          0.00037224,               0.986,              0.9927,             0.98791,             0.62458,            0.028459,             0.01554,          0.00025134,            0.004885,            0.004885,            0.004885
                  64,            0.022674,            0.019025,          0.00038032,             0.98488,             0.98972,              0.9864,             0.61462,            0.028986,            0.015579,           0.0002963,           0.0048025,           0.0048025,           0.0048025
                  65,            0.022808,            0.019166,          0.00037412,             0.98597,             0.98809,             0.98797,             0.62477,            0.028303,            0.015514,          0.00028545,             0.00472,             0.00472,             0.00472
                  66,            0.022523,              0.0191,          0.00038831,             0.98491,             0.98747,             0.98657,             0.62668,            0.028407,            0.015598,           0.0002541,           0.0046375,           0.0046375,           0.0046375
                  67,            0.022327,            0.018998,          0.00044033,             0.98246,             0.99195,             0.98688,             0.61982,            0.028639,            0.015486,          0.00026882,            0.004555,            0.004555,            0.004555
                  68,            0.022803,            0.018991,           0.0003204,             0.98812,             0.99559,             0.99233,             0.62619,            0.028386,            0.015506,          0.00023384,           0.0044725,           0.0044725,           0.0044725
                  69,            0.022742,            0.019251,          0.00024984,              0.9871,             0.99331,             0.98683,             0.62055,            0.028565,             0.01556,          0.00026153,             0.00439,             0.00439,             0.00439
                  70,            0.022215,            0.018745,          0.00026652,             0.98574,             0.98981,             0.98634,             0.62171,            0.028666,            0.015715,          0.00025155,           0.0043075,           0.0043075,           0.0043075
                  71,            0.022116,            0.018764,          0.00023686,             0.98813,             0.99176,             0.99082,             0.61939,            0.028844,            0.015762,          0.00025436,            0.004225,            0.004225,            0.004225
                  72,             0.02183,             0.01851,          0.00026451,             0.98649,             0.99193,             0.98872,             0.62065,            0.028458,            0.015794,          0.00027827,           0.0041425,           0.0041425,           0.0041425
                  73,             0.02186,             0.01879,          0.00024921,             0.98698,             0.98914,             0.98941,             0.61932,             0.02882,            0.015899,          0.00026352,             0.00406,             0.00406,             0.00406
                  74,            0.022114,            0.018956,          0.00028397,             0.98569,             0.99009,             0.98998,             0.62542,            0.028402,            0.015627,          0.00035241,           0.0039775,           0.0039775,           0.0039775
                  75,            0.021491,            0.018388,          0.00024712,             0.98557,             0.99217,             0.98942,             0.61691,            0.028702,            0.015995,          0.00038716,            0.003895,            0.003895,            0.003895
                  76,            0.021841,              0.0184,          0.00027089,             0.98865,             0.99109,             0.99003,             0.62449,            0.028605,            0.015993,          0.00037153,           0.0038125,           0.0038125,           0.0038125
                  77,            0.021477,            0.018672,          0.00034449,             0.98462,             0.98799,             0.98841,             0.62604,            0.028849,            0.015812,           0.0002384,             0.00373,             0.00373,             0.00373
                  78,            0.021426,            0.018093,           0.0002969,             0.98977,             0.99331,             0.98863,             0.62124,            0.028878,            0.015939,          0.00024221,           0.0036475,           0.0036475,           0.0036475
                  79,            0.021125,            0.018229,          0.00022708,             0.98401,             0.99076,             0.98828,             0.61605,            0.028886,            0.016348,          0.00021292,            0.003565,            0.003565,            0.003565
                  80,             0.02106,            0.018127,          0.00031889,             0.98463,             0.98948,             0.98613,             0.61511,            0.029337,            0.016342,          0.00035348,           0.0034825,           0.0034825,           0.0034825
                  81,            0.021136,            0.018615,          0.00030594,             0.98264,             0.98809,              0.9869,             0.62559,            0.028573,            0.016015,          0.00027397,              0.0034,              0.0034,              0.0034
                  82,            0.020972,            0.018281,          0.00026286,             0.98573,             0.98982,             0.98821,             0.61781,             0.02882,            0.015798,          0.00026325,           0.0033175,           0.0033175,           0.0033175
                  83,            0.020771,            0.018179,          0.00024192,              0.9833,             0.98398,             0.98268,             0.61678,            0.029441,            0.016075,          0.00024051,            0.003235,            0.003235,            0.003235
                  84,            0.020467,            0.018524,          0.00020959,             0.97976,             0.98948,             0.98718,             0.61501,            0.029089,            0.016167,          0.00044587,           0.0031525,           0.0031525,           0.0031525
                  85,            0.020301,            0.018042,          0.00023154,             0.98588,             0.99039,             0.98819,             0.61971,            0.028676,            0.016042,          0.00026004,             0.00307,             0.00307,             0.00307
                  86,            0.020567,            0.017804,          0.00025862,             0.98533,             0.99037,             0.98844,             0.61477,            0.029163,            0.016285,          0.00032389,           0.0029875,           0.0029875,           0.0029875
                  87,            0.020473,            0.017753,          0.00028338,              0.9823,             0.98735,              0.9844,             0.61724,            0.028723,            0.016057,          0.00051118,            0.002905,            0.002905,            0.002905
                  88,            0.020116,            0.017775,          0.00019608,             0.98648,             0.99135,             0.98855,             0.62034,            0.028824,            0.016478,          0.00042976,           0.0028225,           0.0028225,           0.0028225
                  89,             0.01996,            0.017609,          0.00027156,              0.9854,             0.98923,              0.9878,             0.61487,            0.029213,            0.016591,          0.00044912,             0.00274,             0.00274,             0.00274
                  90,            0.019977,            0.017729,          0.00022625,             0.98644,             0.98838,             0.98732,             0.62207,            0.028849,             0.01639,          0.00035935,           0.0026575,           0.0026575,           0.0026575
                  91,            0.019414,            0.017547,          0.00022978,             0.98495,             0.99016,             0.98799,             0.62143,            0.028907,            0.016582,          0.00035882,            0.002575,            0.002575,            0.002575
                  92,            0.019677,            0.017258,          0.00022052,             0.98748,             0.99176,             0.98921,             0.61844,            0.029029,            0.016441,          0.00023914,           0.0024925,           0.0024925,           0.0024925
                  93,            0.019639,            0.017281,          0.00020399,             0.98577,             0.98976,             0.98737,             0.61232,            0.029184,            0.016855,          0.00033518,             0.00241,             0.00241,             0.00241
                  94,            0.019606,            0.017326,          0.00018045,             0.98637,             0.99124,             0.98835,             0.61156,            0.029156,            0.016768,          0.00041803,           0.0023275,           0.0023275,           0.0023275
                  95,             0.01967,            0.017345,          0.00018842,             0.98541,              0.9905,             0.98674,             0.61159,            0.029076,            0.016701,          0.00036384,            0.002245,            0.002245,            0.002245
                  96,            0.019482,            0.017431,          0.00015448,              0.9855,             0.98969,             0.98663,             0.62132,            0.028774,            0.016443,          0.00043651,           0.0021625,           0.0021625,           0.0021625
                  97,            0.019466,            0.017166,          0.00017402,             0.98728,             0.99322,             0.99057,             0.60894,            0.028994,            0.016618,          0.00042349,             0.00208,             0.00208,             0.00208
                  98,            0.019266,            0.016954,          0.00016909,             0.98534,             0.98962,               0.985,             0.61476,            0.028772,            0.016761,          0.00041761,           0.0019975,           0.0019975,           0.0019975
                  99,              0.0191,            0.016817,          0.00018032,             0.98294,             0.98802,             0.98353,             0.61412,             0.02904,            0.016803,          0.00028014,            0.001915,            0.001915,            0.001915
                 100,            0.019097,            0.017139,          0.00014555,             0.98258,             0.98754,             0.98245,              0.6145,            0.028841,            0.016639,          0.00049597,           0.0018325,           0.0018325,           0.0018325
                 101,            0.019003,            0.016858,          0.00014266,             0.98557,             0.99038,             0.98576,             0.61758,            0.028906,            0.016841,          0.00044189,             0.00175,             0.00175,             0.00175
                 102,            0.018693,            0.016653,          0.00012499,             0.98552,             0.98957,             0.98562,             0.61729,            0.029114,            0.016742,          0.00048346,           0.0016675,           0.0016675,           0.0016675
                 103,            0.018734,            0.017387,          0.00013963,             0.98379,             0.98832,             0.98668,             0.61765,            0.029045,            0.016818,          0.00037562,            0.001585,            0.001585,            0.001585
                 104,            0.018588,            0.016967,          0.00015796,             0.98492,             0.98998,             0.98656,              0.6129,            0.029296,            0.016913,          0.00043015,           0.0015025,           0.0015025,           0.0015025
                 105,            0.018713,            0.016679,          0.00014505,             0.98275,             0.98919,              0.9843,             0.61188,            0.029415,            0.017022,          0.00048384,             0.00142,             0.00142,             0.00142
                 106,             0.01853,            0.017022,          0.00017013,             0.98474,             0.99017,              0.9854,              0.6121,            0.029279,            0.016904,          0.00047064,           0.0013375,           0.0013375,           0.0013375
                 107,            0.018244,            0.016748,          0.00018607,             0.98382,             0.98872,             0.98051,             0.60994,            0.029069,            0.016999,          0.00060146,            0.001255,            0.001255,            0.001255
                 108,            0.018476,            0.017167,          0.00029516,             0.98791,             0.99324,             0.98805,             0.61502,            0.029087,            0.016832,          0.00058279,           0.0011725,           0.0011725,           0.0011725
